ID,Qty,Function,Candidate,Revision,Mass,CoM,Interface,Status,Required Evidence,Owner,Gate
M1,1,Base-yaw actuator,A/B: XL330-M288-T,v1-C,18 g,TBD measured,J1 output and TTL/VDD/GND; provisional ID 21,Candidate not qualified,"Purchased label; firmware; actual ID; horn and case drawings; continuous torque-speed-thermal evidence",Controls/Mechanical,G2/G4
M2,1,Shoulder-pitch actuator,A/B: XL330-M288-T,v1-C,18 g,TBD measured,J2 output and TTL/VDD/GND; provisional ID 22,Candidate not qualified,"Purchased label; firmware; actual ID; horn and case drawings; >=3x continuous torque margin",Controls/Mechanical,G2/G4
M3,1,Elbow-pitch actuator,A/B: XL330-M288-T,v1-C,18 g,TBD measured,J3 output and TTL/VDD/GND; provisional ID 23,Candidate not qualified,"Purchased label; firmware; actual ID; horn and case drawings; continuous torque-speed-thermal evidence",Controls/Mechanical,G2/G4
M4,1,Wrist-pitch actuator,A: XL330-M288-T; B: XL330-M077-T,v1-C,18 g,TBD measured,J4 output and TTL/VDD/GND; provisional ID 24,A/B comparison required,"Purchased identity; output inertia/backdrive; matched tracking energy thermal and disturbance tests",Controls/Mechanical,G2/G5
M5,1,Gripper actuator,A: XL330-M288-T; B: XL330-M077-T,v1-C,18 g,TBD measured,Driven jaw gear and TTL/VDD/GND; provisional ID 25,A/B comparison required,"Purchased identity; grip cycle thermal test; stall protection; matched energy and disturbance tests",Controls/Mechanical,G2/G5
IF-TRUNK,1,Arm cartridge to trunk load interface,TBD part number,v1-C budget,10 g budget,TBD measured,"Mount position [15 0 40] mm in inherited model; physical datum and fastener pattern TBD",Blocked,"Measured robot interface; released datums; material; tolerances; fastener preload; fixture and trunk load review",Mechanical,G1/G3
BR-J1,1,Base-yaw bearing bracket,TBD part number,v1-C,Included in 10 g bracket budget,TBD measured,Supports J1 shaft reaction independently of motor output bearing,Concept only,"Section/material; two-plane support; bearing seats; fastener pattern; FEA or hand calculation; proof load",Mechanical,G3
BR-J2,1,Shoulder clevis or dual-side bracket,TBD part number,v1-C,Included in 10 g bracket budget,TBD measured,Transfers J2 moment from upper link into J1 carrier,Concept only,"Real servo geometry; dual-side reaction path; bearing selection; spacer stack; joint retention",Mechanical,G3
BR-J3,1,Elbow clevis or dual-side bracket,TBD part number,v1-C,Included in 10 g bracket budget,TBD measured,Transfers forearm load into upper link and J3 actuator,Concept only,"Real servo geometry; bearing support; section/material; tolerance stack; proof load",Mechanical,G3
BR-J4,1,Wrist carrier,TBD part number,v1-C,Included in 10 g bracket budget,TBD measured,Supports independent wrist shaft and gripper module,Concept only,"Bearing spacing; shaft shoulder; retention; cable passage; wrist/gripper interference test",Mechanical,G3
LINK-U,1,Shoulder-to-elbow structural link,TBD part number,v1-C,Included in 20 g link budget,TBD measured,55 mm nominal joint-axis distance,Concept only,"Material/process; cross-section; actual axis datums; bending/torsion calculation; proof load",Mechanical,G3
LINK-F,1,Elbow-to-wrist structural link,TBD part number,v1-C,Included in 20 g link budget,TBD measured,50 mm nominal joint-axis distance,Concept only,"Material/process; cross-section; actual axis datums; bending/torsion calculation; proof load",Mechanical,G3
WR-CARRIER,1,Independent wrist transmission carrier,TBD part number,v1-C,TBD,TBD measured,J4 shaft/bearings and M4 horn interface; not the jaw transmission,Concept only,"Released shaft drawing; bearing fits; horn coupling; torsional stiffness; cable clearance",Mechanical,G3
HORN-J1,1,Servo output horn or hub for J1,TBD exact manufacturer part,v1-C,TBD,TBD,Motor spline to J1 shaft/carrier,Blocked,"Manufacturer part number; spline identity; screw; pilot; bolt circle; allowable torque; fit inspection",Mechanical,G2/G3
HORN-J2,1,Servo output horn or hub for J2,TBD exact manufacturer part,v1-C,TBD,TBD,Motor spline to upper link,Blocked,"Manufacturer part number; spline identity; screw; pilot; bolt circle; allowable torque; fit inspection",Mechanical,G2/G3
