id,group,quantity,unit,item,candidate_or_reference,specification,disposition,status,required_evidence,source,measured_mass_kg,measured_com_m,measured_inertia_kg_m2,hardware_released
ARM-M1,arm,1,each,Base-yaw actuator,A/B: XL330-M288-T,J1 output and TTL/VDD/GND; provisional ID 21,NEW_ARM_PART_CANDIDATE,Candidate not qualified,Purchased label; firmware; actual ID; horn and case drawings; continuous torque-speed-thermal evidence,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#M1,,,,False
ARM-M2,arm,1,each,Shoulder-pitch actuator,A/B: XL330-M288-T,J2 output and TTL/VDD/GND; provisional ID 22,NEW_ARM_PART_CANDIDATE,Candidate not qualified,Purchased label; firmware; actual ID; horn and case drawings; >=3x continuous torque margin,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#M2,,,,False
ARM-M3,arm,1,each,Elbow-pitch actuator,A/B: XL330-M288-T,J3 output and TTL/VDD/GND; provisional ID 23,NEW_ARM_PART_CANDIDATE,Candidate not qualified,Purchased label; firmware; actual ID; horn and case drawings; continuous torque-speed-thermal evidence,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#M3,,,,False
ARM-M4,arm,1,each,Wrist-pitch actuator,A: XL330-M288-T; B: XL330-M077-T,J4 output and TTL/VDD/GND; provisional ID 24,NEW_ARM_PART_CANDIDATE,A/B comparison required,Purchased identity; output inertia/backdrive; matched tracking energy thermal and disturbance tests,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#M4,,,,False
ARM-M5,arm,1,each,Gripper actuator,A: XL330-M288-T; B: XL330-M077-T,Driven jaw gear and TTL/VDD/GND; provisional ID 25,NEW_ARM_PART_CANDIDATE,A/B comparison required,Purchased identity; grip cycle thermal test; stall protection; matched energy and disturbance tests,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#M5,,,,False
ARM-IF-TRUNK,arm,1,each,Arm cartridge to trunk load interface,TBD part number,Mount position [15 0 40] mm in inherited model; physical datum and fastener pattern TBD,NEW_ARM_PART_CANDIDATE,Blocked,Measured robot interface; released datums; material; tolerances; fastener preload; fixture and trunk load review,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#IF-TRUNK,,,,False
ARM-BR-J1,arm,1,each,Base-yaw bearing bracket,TBD part number,Supports J1 shaft reaction independently of motor output bearing,NEW_ARM_PART_CANDIDATE,Concept only,Section/material; two-plane support; bearing seats; fastener pattern; FEA or hand calculation; proof load,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#BR-J1,,,,False
ARM-BR-J2,arm,1,each,Shoulder clevis or dual-side bracket,TBD part number,Transfers J2 moment from upper link into J1 carrier,NEW_ARM_PART_CANDIDATE,Concept only,Real servo geometry; dual-side reaction path; bearing selection; spacer stack; joint retention,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#BR-J2,,,,False
ARM-BR-J3,arm,1,each,Elbow clevis or dual-side bracket,TBD part number,Transfers forearm load into upper link and J3 actuator,NEW_ARM_PART_CANDIDATE,Concept only,Real servo geometry; bearing support; section/material; tolerance stack; proof load,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#BR-J3,,,,False
ARM-BR-J4,arm,1,each,Wrist carrier,TBD part number,Supports independent wrist shaft and gripper module,NEW_ARM_PART_CANDIDATE,Concept only,Bearing spacing; shaft shoulder; retention; cable passage; wrist/gripper interference test,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#BR-J4,,,,False
ARM-LINK-U,arm,1,each,Shoulder-to-elbow structural link,TBD part number,"55 mm nominal joint-axis distance; rendered link feather is decorative, not another load-bearing link",NEW_ARM_PART_CANDIDATE,Concept only,Material/process; cross-section; actual axis datums; bending/torsion calculation; proof load,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#LINK-U,,,,False
ARM-LINK-F,arm,1,each,Elbow-to-wrist structural link,TBD part number,50 mm nominal joint-axis distance; 55 + 50 + 55 = 160 mm geometric reach in tennis configuration,NEW_ARM_PART_CANDIDATE,Concept only,Material/process; cross-section; actual axis datums; bending/torsion calculation; proof load,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#LINK-F,,,,False
ARM-WR-CARRIER,arm,1,each,Independent wrist transmission carrier,TBD part number,J4 shaft/bearings and M4 horn interface; not the jaw transmission,NEW_ARM_PART_CANDIDATE,Concept only,Released shaft drawing; bearing fits; horn coupling; torsional stiffness; cable clearance,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#WR-CARRIER,,,,False
ARM-HORN-J1,arm,1,each,Servo output horn or hub for J1,TBD exact manufacturer part,Motor spline to J1 shaft/carrier,NEW_ARM_PART_CANDIDATE,Blocked,Manufacturer part number; spline identity; screw; pilot; bolt circle; allowable torque; fit inspection,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#HORN-J1,,,,False
ARM-HORN-J2,arm,1,each,Servo output horn or hub for J2,TBD exact manufacturer part,Motor spline to upper link,NEW_ARM_PART_CANDIDATE,Blocked,Manufacturer part number; spline identity; screw; pilot; bolt circle; allowable torque; fit inspection,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#HORN-J2,,,,False
ARM-HORN-J3,arm,1,each,Servo output horn or hub for J3,TBD exact manufacturer part,Motor spline to forearm link,NEW_ARM_PART_CANDIDATE,Blocked,Manufacturer part number; spline identity; screw; pilot; bolt circle; allowable torque; fit inspection,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#HORN-J3,,,,False
ARM-HORN-J4,arm,1,each,Servo output horn or hub for J4,TBD exact manufacturer part,Motor spline to wrist shaft,NEW_ARM_PART_CANDIDATE,Blocked,Manufacturer part number; spline identity; screw; pilot; bolt circle; allowable torque; fit inspection,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#HORN-J4,,,,False
ARM-SHAFT-J1,arm,1,each,Base-yaw structural shaft,TBD part number,BR-J1 bearings; HORN-J1 coupling; axial retention,NEW_ARM_PART_CANDIDATE,Blocked,Diameter/material; shoulder geometry; fit; runout; retention; shear/bending/fatigue calculation,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#SHAFT-J1,,,,False
ARM-SHAFT-J2,arm,1,each,Shoulder structural shaft,TBD part number,BR-J2 bearings; HORN-J2 coupling; axial retention,NEW_ARM_PART_CANDIDATE,Blocked,Diameter/material; fit; runout; retention; bending/fatigue calculation,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#SHAFT-J2,,,,False
ARM-SHAFT-J3,arm,1,each,Elbow structural shaft,TBD part number,BR-J3 bearings; HORN-J3 coupling; axial retention,NEW_ARM_PART_CANDIDATE,Blocked,Diameter/material; fit; runout; retention; bending/fatigue calculation,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#SHAFT-J3,,,,False
ARM-SHAFT-J4,arm,1,each,Wrist structural shaft,TBD part number,WR-CARRIER bearings; HORN-J4 coupling; axial retention,NEW_ARM_PART_CANDIDATE,Blocked,Diameter/material; fit; runout; retention; torsion/fatigue calculation,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#SHAFT-J4,,,,False
ARM-BRG-J1,arm,2,each,Base-yaw radial/axial reaction bearings,TBD exact part,SHAFT-J1 and BR-J1 seats,NEW_ARM_PART_CANDIDATE,Blocked,Bearing type/part number; load ratings; fits; preload/endplay; lubrication; contamination review,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#BRG-J1,,,,False
ARM-BRG-J2,arm,2,each,Shoulder radial/axial reaction bearings,TBD exact part,SHAFT-J2 and BR-J2 seats,NEW_ARM_PART_CANDIDATE,Blocked,Bearing type/part number; load ratings; fits; preload/endplay; lubrication; contamination review,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#BRG-J2,,,,False
ARM-BRG-J3,arm,2,each,Elbow radial/axial reaction bearings,TBD exact part,SHAFT-J3 and BR-J3 seats,NEW_ARM_PART_CANDIDATE,Blocked,Bearing type/part number; load ratings; fits; preload/endplay; lubrication; contamination review,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#BRG-J3,,,,False
ARM-BRG-J4,arm,2,each,Wrist radial/axial reaction bearings,TBD exact part,SHAFT-J4 and WR-CARRIER seats,NEW_ARM_PART_CANDIDATE,Blocked,Bearing type/part number; load ratings; fits; preload/endplay; lubrication; contamination review,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#BRG-J4,,,,False
ARM-SPACER-J1,arm,1,set,Base-yaw bearing and horn spacing,TBD part number,J1 axial stack,NEW_ARM_PART_CANDIDATE,Blocked,Material; thicknesses; flatness; tolerance stack; no bearing side-load evidence,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#SPACER-J1,,,,False
